ticker,exchange,assetType,priceCurrency,startDate,endDate
000507,SHE,Stock,CNY,2007-01-04,2017-03-17
000509,SHE,Stock,CNY,2007-01-04,2017-03-03
000510,SHE,Stock,CNY,2007-01-04,2017-03-17
000511,SHE,Stock,CNY,2007-01-04,2017-03-17
000513,SHE,Stock,CNY,2007-01-04,2017-03-17
000514,SHE,Stock,CNY,2007-01-04,2017-03-17
000515,SHE,Stock,CNY,2007-01-04,2009-04-23
000516,SHE,Stock,CNY,2007-01-05,2016-12-02
000517,SHE,Stock,CNY,2009-09-11,2017-03-17
000518,SHE,Stock,CNY,2007-01-04,2017-03-17
000519,SHE,Stock,CNY,2007-01-04,2017-03-17
000520,SHE,Stock,CNY,2007-01-04,2017-03-17
000521,SHE,Stock,CNY,2007-01-30,2017-03-17
000522,SHE,Stock,CNY,2007-01-04,2013-03-13
000523,SHE,Stock,CNY,2007-01-04,2017-03-17
000524,SHE,Stock,CNY,2007-01-04,2017-03-17
000525,SHE,Stock,CNY,2007-01-04,2017-03-17
000526,SHE,Stock,CNY,2007-01-04,2017-03-17
000527,SHE,Stock,CNY,2007-01-04,2013-08-14
000528,SHE,Stock,CNY,2007-01-04,2017-03-17
000529,SHE,Stock,CNY,2009-09-11,2017-03-17
000530,SHE,Stock,CNY,2007-01-04,2017-03-17
000531,SHE,Stock,CNY,2007-01-04,2017-03-17
000532,SHE,Stock,CNY,2007-01-04,2017-03-17
000533,SHE,Stock,CNY,2007-01-04,2017-03-17
000534,SHE,Stock,CNY,2007-01-04,2017-03-17
000536,SHE,Stock,CNY,2007-01-04,2017-03-17
000537,SHE,Stock,CNY,2007-01-04,2017-03-17
000538,SHE,Stock,CNY,2007-01-04,2017-03-17
000539,SHE,Stock,CNY,2007-01-04,2017-03-17
000540,SHE,Stock,CNY,2007-01-04,2017-03-17
000541,SHE,Stock,CNY,2007-01-04,2017-03-17
000543,SHE,Stock,CNY,2007-01-04,2017-03-17
000544,SHE,Stock,CNY,2007-01-16,2017-03-17
000545,SHE,Stock,CNY,2007-01-04,2017-03-17
000546,SHE,Stock,CNY,2007-01-04,2017-03-17
000547,SHE,Stock,CNY,2007-01-04,2017-03-17
000548,SHE,Stock,CNY,2007-01-04,2017-03-17
000550,SHE,Stock,CNY,2007-01-04,2017-03-17
000551,SHE,Stock,CNY,2007-01-04,2017-03-17
000552,SHE,Stock,CNY,2007-01-04,2017-03-17
000553,SHE,Stock,CNY,2007-01-04,2017-03-17
000554,SHE,Stock,CNY,2007-02-12,2017-03-17
000555,SHE,Stock,CNY,2007-01-04,2017-03-17
000557,SHE,Stock,CNY,2007-01-04,2017-03-17
000558,SHE,Stock,CNY,2007-01-04,2016-10-14
000559,SHE,Stock,CNY,2007-01-04,2017-03-17
000560,SHE,Stock,CNY,2007-01-04,2016-09-01
000561,SHE,Stock,CNY,2007-01-04,2017-03-17
000562,SHE,Stock,CNY,2007-01-04,2014-12-09
000563,SHE,Stock,CNY,2007-01-04,2017-03-17
000564,SHE,Stock,CNY,2007-01-04,2017-03-17
000565,SHE,Stock,CNY,2007-01-04,2017-03-17
